Time,True Heading
68400,1.746527
68460,1.748956
68520,1.751382
68580,1.753805
68640,1.756225
68700,1.758642
68760,1.761057
68820,1.763468
68880,1.765877
68940,1.768282
69000,1.770685
69060,1.773085
69120,1.775481
69180,1.777875
69240,1.780265
69300,1.782652
69360,1.785036
69420,1.787417
69480,1.789795
69540,1.792169
69600,1.79454
69660,1.796908
69720,1.799272
69780,1.801633
69840,1.803991
69900,1.806345
69960,1.808696
70020,1.811043
70080,1.813387
70140,1.815727
70200,1.818064
70260,1.820397
70320,1.822726
70380,1.825052
70440,1.827374
70500,1.829692
70560,1.832007
70620,1.834318
70680,1.836625
70740,1.838929
70800,1.841228
70860,1.843524
70920,1.845816
70980,1.848104
71040,1.850388
71100,1.852668
71160,1.854944
71220,1.857216
71220,1.859485
71220,1.859485
71280,-2.636639
71340,-2.63721
71400,-2.637779
71460,-2.638347
71520,-2.638913
71580,-2.639478
71640,-2.640041
71700,-2.640602
71760,-2.641162
71820,-2.641721
71880,-2.642278
71940,-2.642833
72000,-2.643387
72060,-2.643939
72120,-2.64449
72180,-2.64504
72240,-2.645588
72300,-2.646135
72360,-2.64668
72420,-2.647223
72480,-2.647765
72540,-2.648306
72600,-2.648845
72660,-2.649383
72720,-2.649919
72780,-2.650454
72840,-2.650988
72900,-2.65152
72960,-2.65205
73020,-2.652579
73080,-2.653107
73140,-2.653633
73200,-2.654158
73260,-2.654682
73320,-2.655204
73380,-2.655725
73440,-2.656244
73500,-2.656762
73560,-2.657279
73620,-2.657794
73680,-2.658308
73740,-2.65882
73800,-2.659331
73860,-2.659841
73920,-2.660349
73980,-2.660856
74040,-2.661362
74100,-2.661866
74160,-2.662369
74220,-2.662871
74280,-2.663372
74340,-2.663871
74400,-2.664368
74460,-2.664865
74520,-2.66536
74580,-2.665854
74640,-2.666346
74700,-2.666837
74760,-2.667327
74820,-2.667815
74880,-2.668303
74940,-2.668789
75000,-2.669274
75060,-2.669757
75120,-2.670239
75180,-2.67072
75240,-2.6712
75300,-2.671678
75360,-2.672155
75420,-2.672631
75480,-2.673106
75540,-2.673579
75600,-2.674051
75660,-2.674522
75720,-2.674992
75780,-2.67546
75840,-2.675927
75900,-2.676394
75960,-2.676858
76020,-2.677322
76080,-2.677784
76140,-2.678245
76200,-2.678705
76260,-2.679164
76320,-2.679621
76380,-2.680078
76440,-2.680533
76500,-2.680987
76560,-2.68144
76620,-2.681891
76680,-2.682342
76740,-2.682791
76800,-2.683239
76860,-2.683686
76920,-2.684132
76980,-2.684577
77040,-2.68502
77100,-2.685462
77160,-2.685904
77220,-2.686344
77280,-2.686783
77340,-2.68722
77400,-2.687657
77460,-2.688092
77520,-2.688527
77580,-2.68896
77640,-2.689392
77700,-2.689823
77760,-2.690253
77820,-2.690682
77880,-2.69111
77940,-2.691536
78000,-2.691962
78060,-2.692386
78120,-2.69281
78180,-2.693232
78240,-2.693653
78300,-2.694073
78360,-2.694492
78420,-2.69491
78480,-2.695327
78540,-2.695743
78600,-2.696157
78660,-2.696571
78720,-2.696984
78780,-2.697395
78840,-2.697806
78900,-2.698215
78960,-2.698623
79020,-2.699031
79080,-2.699437
79140,-2.699842
79200,-2.700247
79260,-2.70065
79320,-2.701052
79380,-2.701453
79440,-2.701853
79500,-2.702252
79560,-2.70265
79620,-2.703047
79680,-2.703443
79740,-2.703838
79800,-2.704232
79860,-2.704626
79920,-2.705018
79980,-2.705409
80040,-2.705799
80100,-2.706188
80160,-2.706576
80220,-2.706963
80280,-2.707349
80340,-2.707734
80400,-2.708118
80460,-2.708501
80520,-2.708884
80580,-2.709265
80640,-2.709645
80700,-2.710024
80760,-2.710403
80820,-2.71078
80880,-2.711157
80940,-2.711532
81000,-2.711907
81060,-2.71228
81120,-2.712653
81180,-2.713025
81240,-2.713395
81300,-2.713765
81360,-2.714134
81420,-2.714502
81480,-2.714869
